321350	4181800	2517
321400	4181800	2511
321450	4181800	2503
321500	4181800	2493
321550	4181800	2487
321600	4181800	2486
321650	4181800	2485
321700	4181800	2488
321750	4181800	2491
321800	4181800	2491
321850	4181800	2491
321900	4181800	2489
321950	4181800	2484
322000	4181800	2481
322050	4181800	2479
322100	4181800	2475
322150	4181800	2469
322200	4181800	2467
322250	4181800	2466
322300	4181800	2466
322350	4181800	2467
322400	4181800	2465
322450	4181800	2464
322500	4181800	2461
322550	4181800	2459
322600	4181800	2461
322650	4181800	2457
322700	4181800	2455
322750	4181800	2453
322800	4181800	2451
322850	4181800	2453
322900	4181800	2453
322950	4181800	2451
323000	4181800	2446
321350	4181750	2511
321400	4181750	2505
321450	4181750	2496
321500	4181750	2492
321550	4181750	2492
321600	4181750	2493
321650	4181750	2494
321700	4181750	2495
321750	4181750	2495
321800	4181750	2492
321850	4181750	2495
321900	4181750	2514
321950	4181750	2517
322000	4181750	2503
322050	4181750	2498
322100	4181750	2494
322150	4181750	2486
322200	4181750	2483
322250	4181750	2479
322300	4181750	2470
322350	4181750	2465
322400	4181750	2466
322450	4181750	2466
322500	4181750	2463
322550	4181750	2461
322600	4181750	2458
322650	4181750	2457
322700	4181750	2455
322750	4181750	2452
322800	4181750	2450
322850	4181750	2447
322900	4181750	2443
322950	4181750	2439
323000	4181750	2435
321350	4181700	2511
321400	4181700	2503
321450	4181700	2501
321500	4181700	2502
321550	4181700	2504
321600	4181700	2503
321650	4181700	2502
321700	4181700	2500
321750	4181700	2497
321800	4181700	2501
321850	4181700	2527
321900	4181700	2533
321950	4181700	2535
322000	4181700	2533
322050	4181700	2534
322100	4181700	2524
322150	4181700	2522
322200	4181700	2518
322250	4181700	2516
322300	4181700	2507
322350	4181700	2483
322400	4181700	2466
322450	4181700	2468
322500	4181700	2465
322550	4181700	2454
322600	4181700	2454
322650	4181700	2458
322700	4181700	2459
322750	4181700	2454
322800	4181700	2454
322850	4181700	2450
322900	4181700	2448
322950	4181700	2444
323000	4181700	2438
321350	4181650	2517
321400	4181650	2515
321450	4181650	2515
321500	4181650	2515
321550	4181650	2512
321600	4181650	2509
321650	4181650	2507
321700	4181650	2502
321750	4181650	2499
321800	4181650	2526
321850	4181650	2542
321900	4181650	2546
321950	4181650	2535
322000	4181650	2538
322050	4181650	2537
322100	4181650	2539
322150	4181650	2526
322200	4181650	2520
322250	4181650	2519
322300	4181650	2520
322350	4181650	2511
322400	4181650	2497
322450	4181650	2480
322500	4181650	2460
322550	4181650	2441
322600	4181650	2439
322650	4181650	2447
322700	4181650	2448
322750	4181650	2445
322800	4181650	2444
322850	4181650	2444
322900	4181650	2450
322950	4181650	2451
323000	4181650	2446
321350	4181600	2522
321400	4181600	2521
321450	4181600	2523
321500	4181600	2522
321550	4181600	2516
321600	4181600	2516
321650	4181600	2510
321700	4181600	2506
321750	4181600	2512
321800	4181600	2539
321850	4181600	2542
321900	4181600	2544
321950	4181600	2544
322000	4181600	2543
322050	4181600	2541
322100	4181600	2538
322150	4181600	2532
322200	4181600	2524
322250	4181600	2520
322300	4181600	2514
322350	4181600	2514
322400	4181600	2514
322450	4181600	2503
322500	4181600	2493
322550	4181600	2466
322600	4181600	2437
322650	4181600	2430
322700	4181600	2431
322750	4181600	2430
322800	4181600	2430
322850	4181600	2432
322900	4181600	2437
322950	4181600	2443
323000	4181600	2444
321350	4181550	2531
321400	4181550	2530
321450	4181550	2528
321500	4181550	2523
321550	4181550	2520
321600	4181550	2517
321650	4181550	2513
321700	4181550	2519
321750	4181550	2541
321800	4181550	2542
321850	4181550	2551
321900	4181550	2557
321950	4181550	2550
322000	4181550	2551
322050	4181550	2546
322100	4181550	2544
322150	4181550	2538
322200	4181550	2528
322250	4181550	2524
322300	4181550	2510
322350	4181550	2511
322400	4181550	2510
322450	4181550	2505
322500	4181550	2497
322550	4181550	2489
322600	4181550	2456
322650	4181550	2425
322700	4181550	2420
322750	4181550	2418
322800	4181550	2418
322850	4181550	2419
322900	4181550	2423
322950	4181550	2428
323000	4181550	2430
321350	4181500	2538
321400	4181500	2535
321450	4181500	2528
321500	4181500	2524
321550	4181500	2519
321600	4181500	2517
321650	4181500	2522
321700	4181500	2550
321750	4181500	2552
321800	4181500	2560
321850	4181500	2554
321900	4181500	2555
321950	4181500	2556
322000	4181500	2554
322050	4181500	2559
322100	4181500	2542
322150	4181500	2534
322200	4181500	2528
322250	4181500	2526
322300	4181500	2509
322350	4181500	2506
322400	4181500	2505
322450	4181500	2498
322500	4181500	2497
322550	4181500	2495
322600	4181500	2472
322650	4181500	2445
322700	4181500	2421
322750	4181500	2418
322800	4181500	2416
